dataset,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay
tv_and_film,false,false,false,0.8778735632183908,0.8778735632183908
tv_and_film,true,false,false,1.0,0.6925287356321839
tv_and_film,false,false,false,0.9971264367816092,0.9913793103448276
tv_and_film,false,false,false,0.8591954022988506,0.8477011494252874
tv_and_film,false,false,false,0.7183908045977011,0.5589080459770115
tv_and_film,false,false,false,0.7025862068965517,0.610632183908046
tv_and_film,false,false,false,0.9324712643678161,0.6839080459770115
tv_and_film,false,false,false,0.8908045977011494,0.26436781609195403
tv_and_film,false,false,true,0.9899425287356322,0.9899425287356322
tv_and_film,true,false,false,1.0,0.9439655172413793
tv_and_film,false,false,false,0.867816091954023,0.8462643678160919
tv_and_film,false,false,false,0.8390804597701149,0.5545977011494253
tv_and_film,false,false,false,0.5747126436781609,0.5747126436781609
tv_and_film,false,false,false,0.985632183908046,0.985632183908046
tv_and_film,false,false,false,0.5948275862068966,0.5373563218390804
tv_and_film,false,false,false,0.6580459770114943,0.4353448275862069
tv_and_film,false,false,false,0.8362068965517241,0.6522988505747126
tv_and_film,false,false,false,0.8448275862068966,0.8189655172413793
tv_and_film,false,false,false,0.9956896551724138,0.6077586206896551
tv_and_film,false,false,false,0.5761494252873564,0.5761494252873564
tv_and_film,false,false,false,0.5818965517241379,0.5818965517241379
tv_and_film,false,false,false,0.8721264367816092,0.8721264367816092
tv_and_film,false,false,false,0.9195402298850575,0.8002873563218391
tv_and_film,false,false,false,0.7442528735632183,0.7442528735632183
tv_and_film,false,false,false,0.9870689655172413,0.8864942528735632
education,true,true,false,1.0,1.0
education,false,false,false,0.6666666666666666,0.5775862068965517
education,false,false,false,0.7456896551724138,0.5387931034482759
education,true,true,false,1.0,1.0
education,true,true,false,1.0,1.0
education,false,false,false,0.8491379310344828,0.7399425287356322
education,true,false,false,1.0,0.9410919540229885
education,true,false,false,1.0,0.9152298850574713
education,false,false,false,0.5589080459770115,0.46264367816091956
education,false,false,false,0.7887931034482759,0.7887931034482759
education,false,false,false,0.507183908045977,0.40660919540229884
education,true,true,false,1.0,1.0
education,false,false,false,0.9382183908045977,0.9382183908045977
education,false,false,false,0.7758620689655172,0.7758620689655172
education,false,false,false,0.7227011494252874,0.7227011494252874
education,true,false,false,1.0,0.8620689655172413
education,false,false,false,0.9525862068965517,0.9525862068965517
education,true,true,false,1.0,1.0
education,false,false,false,0.5186781609195402,0.28448275862068967
education,true,false,false,1.0,0.6020114942528736
education,true,false,false,1.0,0.9310344827586207
education,false,false,false,0.5704022988505747,0.507183908045977
education,true,true,false,1.0,1.0
education,false,false,false,0.6666666666666666,0.610632183908046
education,false,false,false,0.7255747126436781,0.7241379310344828
education,true,true,true,1.0,1.0
education,true,true,true,1.0,1.0
education,true,false,false,1.0,0.9123563218390804
education,false,false,false,0.6163793103448276,0.5373563218390804
education,false,false,false,0.7931034482758621,0.40373563218390807
education,true,false,false,1.0,0.875
education,true,false,false,1.0,0.9741379310344828
education,true,false,false,1.0,0.8448275862068966
education,true,false,false,1.0,0.8045977011494253
education,false,false,false,0.5459770114942529,0.5158045977011494
education,true,true,true,1.0,1.0
education,true,true,false,1.0,1.0
education,false,false,false,0.9626436781609196,0.3045977011494253
education,false,false,false,0.492816091954023,0.4468390804597701
education,true,true,false,1.0,1.0
education,false,false,false,0.8074712643678161,0.3232758620689655
education,false,false,false,0.6494252873563219,0.6494252873563219
education,false,false,false,0.771551724137931,0.6020114942528736
education,false,false,false,0.7988505747126436,0.49137931034482757
education,false,false,false,0.9568965517241379,0.8620689655172413
education,false,false,false,0.7227011494252874,0.7227011494252874
education,false,false,false,0.8721264367816092,0.8721264367816092
education,false,false,false,0.7916666666666666,0.7916666666666666
education,true,true,false,1.0,1.0
education,false,false,false,0.9525862068965517,0.30028735632183906
education,false,false,false,0.8390804597701149,0.48419540229885055
education,true,true,false,1.0,1.0
education,true,false,false,1.0,0.8376436781609196
education,true,true,false,1.0,1.0
education,false,false,false,0.6810344827586207,0.45689655172413796
education,false,false,false,0.8376436781609196,0.6681034482758621
education,false,false,false,0.9985632183908046,0.5905172413793104
education,false,false,false,0.7801724137931034,0.7801724137931034
education,true,true,true,1.0,1.0
education,false,false,false,0.7313218390804598,0.7313218390804598
education,false,false,false,0.9525862068965517,0.3635057471264368
education,false,false,false,0.8994252873563219,0.8994252873563219
education,true,true,false,1.0,1.0
education,false,false,false,0.6982758620689655,0.6982758620689655
education,true,true,false,1.0,1.0
education,true,true,false,1.0,1.0
education,false,false,false,0.7758620689655172,0.6609195402298851
education,true,true,true,1.0,1.0
education,true,true,true,1.0,1.0
education,false,false,false,0.8491379310344828,0.34626436781609193
education,true,false,false,1.0,0.7629310344827587
education,true,true,true,1.0,1.0
